id,type,age,function,representation,position
Thomas Hitzlsperger,0,38,v,s,vo
Stefan Heim,0,50,v,w,m
Jochen Röttgermann,0,54,v,w,m
Oliver Schraft,0,53,v,k,m
Claus Vogt,0,51,ar,p,vo
Wilfried Porth,0,62,ar,e,st
Rainer Adrion,0,67,ar,ver,m
Dr. Bernd Gaiser,0,59,ar,ver,m
Hartmut Jenner,0,55,ar,ver,st
Hermann Ohlicher,0,71,ar,ver,m
Franz Reiner,0,53,ar,ver,m
Dr. Bertram Sugg,0,55,ar,ver,m
VfB Stuttgart 1893 AG,1,,,,
VfB Reha-Welt GmbH,1,,,,
Stadion NeckarPark GmbH & Co. KG,1,,,,
VfB Stuttgart Arena Betriebs GmbH,1,,,,
VfB Stuttgart Marketing GmbH,1,,,,
VfB Stuttgart Beteiligungs-GmbH,1,,,,
Württembergischen Fußballverbands,1,,,,
Deutschen Fußball Liga (DFL),1,,,,
VfB Stuttgart 1893 e.V.,1,,,,
Daimler AG,1,,,,
Alfred Kärcher SE & Co. KG.,1,,,,
Alfred-Kärcher-Förderstiftung,1,,,,
Alfred Kärcher SE & Co. KG,1,,,,
Daimler Mobility AG,1,,,,
Robert Bosch GmbH,1,,,,